category,item_name,serving_size_g,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,dietary_fiber_g,sugars_g,protein_g,category_clean,chain
Salads,Premium Bacon Ranch Salad with Crispy Chicken,9 oz (255 g),380,21.0,6.0,0.0,70,860,22,2,5,25,salad,mcdonalds
Salads,Premium Bacon Ranch Salad with Grilled Chicken,8.5 oz (241 g),220,8.0,4.0,0.0,85,690,8,2,4,29,salad,mcdonalds
Salads,Premium Southwest Salad (without Chicken),8.1 oz (230 g),140,4.5,2.0,0.0,10,150,20,6,6,6,salad,mcdonalds
Salads,Premium Southwest Salad with Crispy Chicken,12.3 oz (348 g),450,22.0,4.5,0.0,50,850,42,7,12,23,salad,mcdonalds
Salads,Premium Southwest Salad with Grilled Chicken,11.8 oz (335 g),290,8.0,2.5,0.0,70,680,28,7,10,27,salad,mcdonalds
Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),4.6 oz (130 g),340,15.0,4.5,0.0,30,780,37,1,8,14,wrap,mcdonalds
Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),4.3 oz (123 g),260,8.0,3.5,0.0,40,700,30,1,7,16,wrap,mcdonalds
Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),4.3 oz (123 g),330,15.0,4.5,0.0,35,730,34,1,3,14,wrap,mcdonalds
Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),4.1 oz (116 g),250,8.0,3.5,0.0,45,650,27,1,2,16,wrap,mcdonalds
Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),4.5 oz (128 g),360,20.0,5.0,0.0,40,810,32,1,3,15,wrap,mcdonalds
Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),4.3 oz (121 g),280,13.0,4.5,0.0,45,720,25,1,2,16,wrap,mcdonalds
Snacks & Sides,Small French Fries,2.6 oz (75 g),230,11.0,1.5,0.0,0,130,30,2,0,2,sides,mcdonalds
Snacks & Sides,Medium French Fries,3.9 oz (111 g),340,16.0,2.5,0.0,0,190,44,4,0,4,sides,mcdonalds
Snacks & Sides,Large French Fries,5.9 oz (168 g),510,24.0,3.5,0.0,0,290,67,5,0,6,sides,mcdonalds
Snacks & Sides,Kids French Fries,1.3 oz (38 g),110,5.0,1.0,0.0,0,65,15,1,0,1,kids_menu,mcdonalds
Snacks & Sides,Side Salad,3.1 oz (87 g),20,0.0,0.0,0.0,0,10,4,1,2,1,salad,mcdonalds
Snacks & Sides,Apple Slices,1.2 oz (34 g),15,0.0,0.0,0.0,0,0,4,0,3,0,dessert,mcdonalds
Snacks & Sides,Fruit 'n Yogurt Parfait,5.2 oz (149 g),150,2.0,1.0,0.0,5,70,30,1,23,4,dessert,mcdonalds
Desserts,Baked Apple Pie,2.7 oz (77 g),250,13.0,7.0,0.0,0,170,32,4,13,2,dessert,mcdonalds
Desserts,Chocolate Chip Cookie,1 cookie (33 g),160,8.0,3.5,0.0,10,90,21,1,15,2,dessert,mcdonalds
Desserts,Oatmeal Raisin Cookie,1 cookie (33 g),150,6.0,2.5,0.0,10,135,22,1,13,2,dessert,mcdonalds
Desserts,Kids Ice Cream Cone,1 oz (29 g),45,1.5,1.0,0.0,5,20,7,0,6,1,dessert,mcdonalds
Desserts,Hot Fudge Sundae,6.3 oz (179 g),330,9.0,7.0,0.0,25,170,53,1,48,8,dessert,mcdonalds
Desserts,Hot Caramel Sundae,6.4 oz (182 g),340,8.0,5.0,0.0,30,150,60,0,43,7,dessert,mcdonalds
Desserts,Strawberry Sundae,6.3 oz (178 g),280,6.0,4.0,0.0,25,85,49,0,45,6,dessert,mcdonalds
Beverages,Coca-Cola Classic (Small),16 fl oz cup,140,0.0,0.0,0.0,0,0,39,0,39,0,beverage,mcdonalds
Beverages,Coca-Cola Classic (Medium),21 fl oz cup,200,0.0,0.0,0.0,0,5,55,0,55,0,beverage,mcdonalds
Beverages,Coca-Cola Classic (Large),30 fl oz cup,280,0.0,0.0,0.0,0,5,76,0,76,0,beverage,mcdonalds
Beverages,Coca-Cola Classic (Child),12 fl oz cup,100,0.0,0.0,0.0,0,0,28,0,28,0,beverage,mcdonalds
Beverages,Diet Coke (Small),16 fl oz cup,0,0.0,0.0,0.0,0,10,0,0,0,0,beverage,mcdonalds
Beverages,Diet Coke (Medium),21 fl oz cup,0,0.0,0.0,0.0,0,20,0,0,0,0,beverage,mcdonalds
Beverages,Diet Coke (Large),30 fl oz cup,0,0.0,0.0,0.0,0,35,0,0,0,0,beverage,mcdonalds
Beverages,Diet Coke (Child),12 fl oz cup,0,0.0,0.0,0.0,0,15,0,0,0,0,beverage,mcdonalds
Beverages,Dr Pepper (Small),16 fl oz cup,140,0.0,0.0,0.0,0,45,37,0,35,0,beverage,mcdonalds
Beverages,Dr Pepper (Medium),21 fl oz cup,190,0.0,0.0,0.0,0,65,53,0,51,0,beverage,mcdonalds
Beverages,Dr Pepper (Large),30 fl oz cup,270,0.0,0.0,0.0,0,90,72,0,70,0,beverage,mcdonalds
Beverages,Dr Pepper (Child),12 fl oz cup,100,0.0,0.0,0.0,0,30,27,0,26,0,beverage,mcdonalds
Beverages,Diet Dr Pepper (Small),16 fl oz cup,0,0.0,0.0,0.0,0,70,0,0,0,2,beverage,mcdonalds
Beverages,Diet Dr Pepper (Medium),21 fl oz cup,0,0.0,0.0,0.0,0,100,0,0,0,3,beverage,mcdonalds
Beverages,Diet Dr Pepper (Large),30 fl oz cup,0,0.0,0.0,0.0,0,140,0,0,0,4,beverage,mcdonalds
Beverages,Diet Dr Pepper (Child),12 fl oz cup,0,0.0,0.0,0.0,0,50,0,0,0,1,beverage,mcdonalds
Beverages,Sprite (Small),16 fl oz cup,140,0.0,0.0,0.0,0,30,37,0,37,0,beverage,mcdonalds
Beverages,Sprite (Medium),21 fl oz cup,200,0.0,0.0,0.0,0,45,54,0,54,0,beverage,mcdonalds
Beverages,Sprite (Large),30 fl oz cup,280,0.0,0.0,0.0,0,60,74,0,74,0,beverage,mcdonalds
Beverages,Sprite (Child),12 fl oz cup,100,0.0,0.0,0.0,0,25,27,0,27,0,beverage,mcdonalds
Beverages,1% Low Fat Milk Jug,1 carton (236 ml),100,2.5,1.5,0.0,10,125,12,0,12,8,beverage,mcdonalds
Beverages,Fat Free Chocolate Milk Jug,1 carton (236 ml),130,0.0,0.0,0.0,5,135,23,1,22,9,beverage,mcdonalds
Beverages,Minute Maid 100% Apple Juice Box,6 fl oz (177 ml),80,0.0,0.0,0.0,0,15,21,0,19,0,beverage,mcdonalds
