chain,category_clean,item_name,serve_size,serve_size_unit,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,dietary_fiber_g,sugars_g,protein_g,calories_kcal_norm,total_fat_norm,saturated_fat_norm,trans_fat_norm,cholesterol_norm,sodium_norm,carbohydrates_norm,dietary_fiber_norm,sugars_norm,protein_norm
burger_king,beverage,Cherry Coke,568.26,ml,280,0.0,0.0,0.0,0.0,70.0,76.0,0.0,76.0,0.0,49.27,0.0,0.0,0.0,0.0,12.32,13.37,0.0,13.37,0.0
burger_king,beverage,Cherry Coke,823.98,ml,410,0.0,0.0,0.0,0.0,100.0,110.0,0.0,110.0,0.0,49.76,0.0,0.0,0.0,0.0,12.14,13.35,0.0,13.35,0.0
burger_king,beverage,Cherry Coke,1079.7,ml,530,0.0,0.0,0.0,0.0,130.0,145.0,0.0,145.0,0.0,49.09,0.0,0.0,0.0,0.0,12.04,13.43,0.0,13.43,0.0
burger_king,beverage,Fanta Orange,454.61,ml,230,0.0,0.0,0.0,0.0,60.0,62.0,0.0,61.0,0.0,50.59,0.0,0.0,0.0,0.0,13.2,13.64,0.0,13.42,0.0
burger_king,beverage,Fanta Orange,568.26,ml,280,0.0,0.0,0.0,0.0,70.0,78.0,0.0,77.0,0.0,49.27,0.0,0.0,0.0,0.0,12.32,13.73,0.0,13.55,0.0
burger_king,beverage,Fanta Orange,823.98,ml,410,0.0,0.0,0.0,0.0,105.0,113.0,0.0,111.0,0.0,49.76,0.0,0.0,0.0,0.0,12.74,13.71,0.0,13.47,0.0
burger_king,beverage,Fanta Orange,1079.7,ml,540,0.0,0.0,0.0,0.0,135.0,148.0,0.0,146.0,0.0,50.01,0.0,0.0,0.0,0.0,12.5,13.71,0.0,13.52,0.0
burger_king,beverage,Hi-C Fruit Punch,454.61,ml,220,0.0,0.0,0.0,0.0,75.0,62.0,0.0,60.0,0.0,48.39,0.0,0.0,0.0,0.0,16.5,13.64,0.0,13.2,0.0
burger_king,beverage,Hi-C Fruit Punch,568.26,ml,280,0.0,0.0,0.0,0.0,95.0,77.0,0.0,75.0,0.0,49.27,0.0,0.0,0.0,0.0,16.72,13.55,0.0,13.2,0.0
burger_king,beverage,Hi-C Fruit Punch,823.98,ml,410,0.0,0.0,0.0,0.0,135.0,111.0,0.0,109.0,0.0,49.76,0.0,0.0,0.0,0.0,16.38,13.47,0.0,13.23,0.0
burger_king,beverage,Hi-C Fruit Punch,1079.7,ml,530,0.0,0.0,0.0,0.0,180.0,146.0,0.0,143.0,0.0,49.09,0.0,0.0,0.0,0.0,16.67,13.52,0.0,13.24,0.0
