chain,category_clean,item_name,serve_size_new,serve_size_unit,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,dietary_fiber_g,sugars_g,protein_g,category,serving_size_g
McDondalds,sides,Large French Fries,168,g,510,24.0,3.5,0.0,0,290,67,5,0,6,Snacks & Sides,5.9 oz (168 g)
McDondalds,kids_menu,Kids French Fries,38,g,110,5.0,1.0,0.0,0,65,15,1,0,1,Snacks & Sides,1.3 oz (38 g)
McDondalds,salad,Side Salad,87,g,20,0.0,0.0,0.0,0,10,4,1,2,1,Snacks & Sides,3.1 oz (87 g)
McDondalds,dessert,Apple Slices,34,g,15,0.0,0.0,0.0,0,0,4,0,3,0,Snacks & Sides,1.2 oz (34 g)
McDondalds,dessert,Fruit 'n Yogurt Parfait,149,g,150,2.0,1.0,0.0,5,70,30,1,23,4,Snacks & Sides,5.2 oz (149 g)
McDondalds,dessert,Baked Apple Pie,77,g,250,13.0,7.0,0.0,0,170,32,4,13,2,Desserts,2.7 oz (77 g)
McDondalds,dessert,Chocolate Chip Cookie,33,g,160,8.0,3.5,0.0,10,90,21,1,15,2,Desserts,1 cookie (33 g)
McDondalds,dessert,Oatmeal Raisin Cookie,33,g,150,6.0,2.5,0.0,10,135,22,1,13,2,Desserts,1 cookie (33 g)
McDondalds,dessert,Kids Ice Cream Cone,29,g,45,1.5,1.0,0.0,5,20,7,0,6,1,Desserts,1 oz (29 g)
McDondalds,dessert,Hot Fudge Sundae,179,g,330,9.0,7.0,0.0,25,170,53,1,48,8,Desserts,6.3 oz (179 g)
McDondalds,dessert,Hot Caramel Sundae,182,g,340,8.0,5.0,0.0,30,150,60,0,43,7,Desserts,6.4 oz (182 g)
McDondalds,dessert,Strawberry Sundae,178,g,280,6.0,4.0,0.0,25,85,49,0,45,6,Desserts,6.3 oz (178 g)
McDondalds,beverage,Coca-Cola Classic (Small),16,fl oz,140,0.0,0.0,0.0,0,0,39,0,39,0,Beverages,16 fl oz cup
McDondalds,beverage,Coca-Cola Classic (Medium),21,fl oz,200,0.0,0.0,0.0,0,5,55,0,55,0,Beverages,21 fl oz cup
McDondalds,beverage,Coca-Cola Classic (Large),30,fl oz,280,0.0,0.0,0.0,0,5,76,0,76,0,Beverages,30 fl oz cup
McDondalds,beverage,Coca-Cola Classic (Child),12,fl oz,100,0.0,0.0,0.0,0,0,28,0,28,0,Beverages,12 fl oz cup
McDondalds,beverage,Diet Coke (Small),16,fl oz,0,0.0,0.0,0.0,0,10,0,0,0,0,Beverages,16 fl oz cup
McDondalds,beverage,Diet Coke (Medium),21,fl oz,0,0.0,0.0,0.0,0,20,0,0,0,0,Beverages,21 fl oz cup
McDondalds,beverage,Diet Coke (Large),30,fl oz,0,0.0,0.0,0.0,0,35,0,0,0,0,Beverages,30 fl oz cup
McDondalds,beverage,Diet Coke (Child),12,fl oz,0,0.0,0.0,0.0,0,15,0,0,0,0,Beverages,12 fl oz cup
McDondalds,beverage,Dr Pepper (Small),16,fl oz,140,0.0,0.0,0.0,0,45,37,0,35,0,Beverages,16 fl oz cup
McDondalds,beverage,Dr Pepper (Medium),21,fl oz,190,0.0,0.0,0.0,0,65,53,0,51,0,Beverages,21 fl oz cup
