chain,category_clean,item_name,serve_size,serve_size_unit,nutrition_indicator,value_per_serving
burger_king,breakfast,"Ham, Egg, & Cheese Biscuit","176,00",g,carbohydrates_g,29
burger_king,breakfast,"Ham, Egg, & Cheese Biscuit","176,00",g,dietary_fiber_g,1
burger_king,breakfast,"Ham, Egg, & Cheese Biscuit","176,00",g,sugars_g,3
burger_king,breakfast,"Ham, Egg, & Cheese Biscuit","176,00",g,protein_g,17
burger_king,breakfast,Hash Browns - large,"225,00",g,calories_kcal,670
burger_king,breakfast,Hash Browns - large,"225,00",g,total_fat_g,44
burger_king,breakfast,Hash Browns - large,"225,00",g,saturated_fat_g,9
burger_king,breakfast,Hash Browns - large,"225,00",g,trans_fat_g,0
burger_king,breakfast,Hash Browns - large,"225,00",g,cholesterol_mg,0
burger_king,breakfast,Hash Browns - large,"225,00",g,sodium_mg,1530
burger_king,breakfast,Hash Browns - large,"225,00",g,carbohydrates_g,65
burger_king,breakfast,Hash Browns - large,"225,00",g,dietary_fiber_g,9
burger_king,breakfast,Hash Browns - large,"225,00",g,sugars_g,0
burger_king,breakfast,Hash Browns - large,"225,00",g,protein_g,5
burger_king,breakfast,Hash Browns - medium,"169,00",g,calories_kcal,500
burger_king,breakfast,Hash Browns - medium,"169,00",g,total_fat_g,33
burger_king,breakfast,Hash Browns - medium,"169,00",g,saturated_fat_g,7
burger_king,breakfast,Hash Browns - medium,"169,00",g,trans_fat_g,0
burger_king,breakfast,Hash Browns - medium,"169,00",g,cholesterol_mg,0
burger_king,breakfast,Hash Browns - medium,"169,00",g,sodium_mg,1140
burger_king,breakfast,Hash Browns - medium,"169,00",g,carbohydrates_g,48
burger_king,breakfast,Hash Browns - medium,"169,00",g,dietary_fiber_g,7
burger_king,breakfast,Hash Browns - medium,"169,00",g,sugars_g,0
burger_king,breakfast,Hash Browns - medium,"169,00",g,protein_g,4
burger_king,breakfast,Hash Browns - small,"84,00",g,calories_kcal,250
burger_king,breakfast,Hash Browns - small,"84,00",g,total_fat_g,16
burger_king,breakfast,Hash Browns - small,"84,00",g,saturated_fat_g,"3,5"
burger_king,breakfast,Hash Browns - small,"84,00",g,trans_fat_g,0
burger_king,breakfast,Hash Browns - small,"84,00",g,cholesterol_mg,0
burger_king,breakfast,Hash Browns - small,"84,00",g,sodium_mg,580
burger_king,breakfast,Hash Browns - small,"84,00",g,carbohydrates_g,24
burger_king,breakfast,Hash Browns - small,"84,00",g,dietary_fiber_g,3
burger_king,breakfast,Hash Browns - small,"84,00",g,sugars_g,0
burger_king,breakfast,Hash Browns - small,"84,00",g,protein_g,2
burger_king,breakfast,NY Ultimate Platter (Regional menu item),"400,00",g,calories_kcal,900
burger_king,breakfast,NY Ultimate Platter (Regional menu item),"400,00",g,total_fat_g,46
burger_king,breakfast,NY Ultimate Platter (Regional menu item),"400,00",g,saturated_fat_g,12
burger_king,breakfast,NY Ultimate Platter (Regional menu item),"400,00",g,trans_fat_g,0
burger_king,breakfast,NY Ultimate Platter (Regional menu item),"400,00",g,cholesterol_mg,380
burger_king,breakfast,NY Ultimate Platter (Regional menu item),"400,00",g,sodium_mg,1760
burger_king,breakfast,NY Ultimate Platter (Regional menu item),"400,00",g,carbohydrates_g,95
burger_king,breakfast,NY Ultimate Platter (Regional menu item),"400,00",g,dietary_fiber_g,5
burger_king,breakfast,NY Ultimate Platter (Regional menu item),"400,00",g,sugars_g,31
burger_king,breakfast,NY Ultimate Platter (Regional menu item),"400,00",g,protein_g,25
burger_king,breakfast,Pancake and Sausage platter,"217,00",g,calories_kcal,610
burger_king,breakfast,Pancake and Sausage platter,"217,00",g,total_fat_g,31
burger_king,breakfast,Pancake and Sausage platter,"217,00",g,saturated_fat_g,9
burger_king,breakfast,Pancake and Sausage platter,"217,00",g,trans_fat_g,0
burger_king,breakfast,Pancake and Sausage platter,"217,00",g,cholesterol_mg,80
burger_king,breakfast,Pancake and Sausage platter,"217,00",g,sodium_mg,1010
burger_king,breakfast,Pancake and Sausage platter,"217,00",g,carbohydrates_g,72
burger_king,breakfast,Pancake and Sausage platter,"217,00",g,dietary_fiber_g,1
burger_king,breakfast,Pancake and Sausage platter,"217,00",g,sugars_g,30
burger_king,breakfast,Pancake and Sausage platter,"217,00",g,protein_g,12
burger_king,breakfast,Sausage Biscuit,"121,00",g,calories_kcal,420
burger_king,breakfast,Sausage Biscuit,"121,00",g,total_fat_g,28
burger_king,breakfast,Sausage Biscuit,"121,00",g,saturated_fat_g,6
burger_king,breakfast,Sausage Biscuit,"121,00",g,trans_fat_g,0
burger_king,breakfast,Sausage Biscuit,"121,00",g,cholesterol_mg,35
burger_king,breakfast,Sausage Biscuit,"121,00",g,sodium_mg,1050
burger_king,breakfast,Sausage Biscuit,"121,00",g,carbohydrates_g,28
burger_king,breakfast,Sausage Biscuit,"121,00",g,dietary_fiber_g,1
burger_king,breakfast,Sausage Biscuit,"121,00",g,sugars_g,2
burger_king,breakfast,Sausage Biscuit,"121,00",g,protein_g,12
burger_king,breakfast,"Sausage, Egg, & Cheese Biscuit","189,00",g,calories_kcal,530
burger_king,breakfast,"Sausage, Egg, & Cheese Biscuit","189,00",g,total_fat_g,38
burger_king,breakfast,"Sausage, Egg, & Cheese Biscuit","189,00",g,saturated_fat_g,17
burger_king,breakfast,"Sausage, Egg, & Cheese Biscuit","189,00",g,trans_fat_g,0
burger_king,breakfast,"Sausage, Egg, & Cheese Biscuit","189,00",g,cholesterol_mg,195
burger_king,breakfast,"Sausage, Egg, & Cheese Biscuit","189,00",g,sodium_mg,1440
burger_king,breakfast,"Sausage, Egg, & Cheese Biscuit","189,00",g,carbohydrates_g,29
burger_king,breakfast,"Sausage, Egg, & Cheese Biscuit","189,00",g,dietary_fiber_g,1
burger_king,breakfast,"Sausage, Egg, & Cheese Biscuit","189,00",g,sugars_g,3
burger_king,breakfast,"Sausage, Egg, & Cheese Biscuit","189,00",g,protein_g,19
burger_king,burger,BACON KING™ Sandwich,"356,00",g,calories_kcal,1150
burger_king,burger,BACON KING™ Sandwich,"356,00",g,total_fat_g,79
burger_king,burger,BACON KING™ Sandwich,"356,00",g,saturated_fat_g,31
burger_king,burger,BACON KING™ Sandwich,"356,00",g,trans_fat_g,"3,5"
burger_king,burger,BACON KING™ Sandwich,"356,00",g,cholesterol_mg,240
burger_king,burger,BACON KING™ Sandwich,"356,00",g,sodium_mg,2150
burger_king,burger,BACON KING™ Sandwich,"356,00",g,carbohydrates_g,49
burger_king,burger,BACON KING™ Sandwich,"356,00",g,dietary_fiber_g,2
burger_king,burger,BACON KING™ Sandwich,"356,00",g,sugars_g,10
burger_king,burger,BACON KING™ Sandwich,"356,00",g,protein_g,61
burger_king,burger,BBQ Bacon Crispy Chicken Sandwich,"249,00",g,calories_kcal,790
burger_king,burger,BBQ Bacon Crispy Chicken Sandwich,"249,00",g,total_fat_g,49
burger_king,burger,BBQ Bacon Crispy Chicken Sandwich,"249,00",g,saturated_fat_g,10
burger_king,burger,BBQ Bacon Crispy Chicken Sandwich,"249,00",g,trans_fat_g,"0,5"
burger_king,burger,BBQ Bacon Crispy Chicken Sandwich,"249,00",g,cholesterol_mg,80
burger_king,burger,BBQ Bacon Crispy Chicken Sandwich,"249,00",g,sodium_mg,1630
burger_king,burger,BBQ Bacon Crispy Chicken Sandwich,"249,00",g,carbohydrates_g,60
burger_king,burger,BBQ Bacon Crispy Chicken Sandwich,"249,00",g,dietary_fiber_g,2
burger_king,burger,BBQ Bacon Crispy Chicken Sandwich,"249,00",g,sugars_g,13
burger_king,burger,BBQ Bacon Crispy Chicken Sandwich,"249,00",g,protein_g,28
burger_king,burger,BIG FISH™ Sandwich,"188,00",g,calories_kcal,510
burger_king,burger,BIG FISH™ Sandwich,"188,00",g,total_fat_g,28
burger_king,burger,BIG FISH™ Sandwich,"188,00",g,saturated_fat_g,"4,5"
burger_king,burger,BIG FISH™ Sandwich,"188,00",g,trans_fat_g,0
burger_king,burger,BIG FISH™ Sandwich,"188,00",g,cholesterol_mg,30
burger_king,burger,BIG FISH™ Sandwich,"188,00",g,sodium_mg,1180
burger_king,burger,BIG FISH™ Sandwich,"188,00",g,carbohydrates_g,51
burger_king,burger,BIG FISH™ Sandwich,"188,00",g,dietary_fiber_g,2
burger_king,burger,BIG FISH™ Sandwich,"188,00",g,sugars_g,7
burger_king,burger,BIG FISH™ Sandwich,"188,00",g,protein_g,16
burger_king,burger,Bacon & Cheese Crispy Chicken Sandwich,"262,00",g,calories_kcal,800
burger_king,burger,Bacon & Cheese Crispy Chicken Sandwich,"262,00",g,total_fat_g,52
burger_king,burger,Bacon & Cheese Crispy Chicken Sandwich,"262,00",g,saturated_fat_g,13
burger_king,burger,Bacon & Cheese Crispy Chicken Sandwich,"262,00",g,trans_fat_g,1
burger_king,burger,Bacon & Cheese Crispy Chicken Sandwich,"262,00",g,cholesterol_mg,95
burger_king,burger,Bacon & Cheese Crispy Chicken Sandwich,"262,00",g,sodium_mg,1650
burger_king,burger,Bacon & Cheese Crispy Chicken Sandwich,"262,00",g,carbohydrates_g,55
burger_king,burger,Bacon & Cheese Crispy Chicken Sandwich,"262,00",g,dietary_fiber_g,2
burger_king,burger,Bacon & Cheese Crispy Chicken Sandwich,"262,00",g,sugars_g,8
burger_king,burger,Bacon & Cheese Crispy Chicken Sandwich,"262,00",g,protein_g,30
burger_king,burger,Bacon & Cheese WHOPPER® Sandwich,"303,00",g,calories_kcal,790
burger_king,burger,Bacon & Cheese WHOPPER® Sandwich,"303,00",g,total_fat_g,51
burger_king,burger,Bacon & Cheese WHOPPER® Sandwich,"303,00",g,saturated_fat_g,17
burger_king,burger,Bacon & Cheese WHOPPER® Sandwich,"303,00",g,trans_fat_g,2
burger_king,burger,Bacon & Cheese WHOPPER® Sandwich,"303,00",g,cholesterol_mg,125
burger_king,burger,Bacon & Cheese WHOPPER® Sandwich,"303,00",g,sodium_mg,1560
burger_king,burger,Bacon & Cheese WHOPPER® Sandwich,"303,00",g,carbohydrates_g,50
burger_king,burger,Bacon & Cheese WHOPPER® Sandwich,"303,00",g,dietary_fiber_g,2
burger_king,burger,Bacon & Cheese WHOPPER® Sandwich,"303,00",g,sugars_g,11
burger_king,burger,Bacon & Cheese WHOPPER® Sandwich,"303,00",g,protein_g,35
